metric;Outlier Sensitive;Absolute;Error Directionality;Error Averaging;Scale Dependent;Stability Around Zero;suitable
MAE;0;1;0;1;1;1;1
MAPE;1;0;0;1;0;0;1
MASE;0;0;0;1;0;1;1
MASE;0;1;0;1;0;1;1
ME;0;1;1;1;1;1;1
MPE;1;0;1;1;0;0;1
MSE;1;1;0;1;1;1;1
MaxAE;0;1;0;0;1;1;1
MaxAPE;0;0;0;0;0;0;1
MdAE;0;1;0;1;1;1;1
MdRAE;0;0;0;1;1;0;1
RMSE;1;1;0;1;1;1;1
RMSPE;1;0;0;1;0;0;1
MAE;1;1;0;1;1;1;0
MAE;0;0;0;1;1;1;0
MAE;0;1;1;1;1;1;0
MAE;0;1;0;0;1;1;0
MAE;0;1;0;1;0;1;0
MAE;0;1;0;1;1;0;0
MAPE;0;0;0;1;0;0;0
MAPE;1;1;0;1;0;0;0
MAPE;1;0;1;1;0;0;0
MAPE;1;0;0;0;0;0;0
MAPE;1;0;0;1;1;0;0
MAPE;1;0;0;1;0;1;0
MASE;1;0;0;1;0;1;0
MASE;0;0;1;1;0;1;0
MASE;0;0;0;0;0;1;0
MASE;0;0;0;1;1;1;0
MASE;0;0;0;1;0;0;0
MASE;1;1;0;1;0;1;0
MASE;0;1;1;1;0;1;0
MASE;0;1;0;0;0;1;0
MASE;0;1;0;1;1;1;0
MASE;0;1;0;1;0;0;0
ME;1;1;1;1;1;1;0
ME;0;0;1;1;1;1;0
ME;0;1;0;1;1;1;0
ME;0;1;1;0;1;1;0
ME;0;1;1;1;0;1;0
ME;0;1;1;1;1;0;0
MPE;0;0;1;1;0;0;0
MPE;1;1;1;1;0;0;0
MPE;1;0;0;1;0;0;0
MPE;1;0;1;0;0;0;0
MPE;1;0;1;1;1;0;0
MPE;1;0;1;1;0;1;0
MSE;0;1;0;1;1;1;0
MSE;1;0;0;1;1;1;0
MSE;1;1;1;1;1;1;0
MSE;1;1;0;0;1;1;0
MSE;1;1;0;1;0;1;0
MSE;1;1;0;1;1;0;0
MaxAE;1;1;0;0;1;1;0
MaxAE;0;0;0;0;1;1;0
MaxAE;0;1;1;0;1;1;0
MaxAE;0;1;0;1;1;1;0
MaxAE;0;1;0;0;0;1;0
MaxAE;0;1;0;0;1;0;0
MaxAPE;1;0;0;0;0;0;0
MaxAPE;0;1;0;0;0;0;0
MaxAPE;0;0;1;0;0;0;0
MaxAPE;0;0;0;1;0;0;0
MaxAPE;0;0;0;0;1;0;0
MaxAPE;0;0;0;0;0;1;0
MdAE;1;1;0;1;1;1;0
MdAE;0;0;0;1;1;1;0
MdAE;0;1;1;1;1;1;0
MdAE;0;1;0;0;1;1;0
MdAE;0;1;0;1;0;1;0
MdAE;0;1;0;1;1;0;0
MdRAE;1;0;0;1;1;0;0
MdRAE;0;1;0;1;1;0;0
MdRAE;0;0;1;1;1;0;0
MdRAE;0;0;0;0;1;0;0
MdRAE;0;0;0;1;0;0;0
MdRAE;0;0;0;1;1;1;0
RMSE;0;1;0;1;1;1;0
RMSE;1;0;0;1;1;1;0
RMSE;1;1;1;1;1;1;0
RMSE;1;1;0;0;1;1;0
RMSE;1;1;0;1;0;1;0
RMSE;1;1;0;1;1;0;0
RMSPE;0;0;0;1;0;0;0
RMSPE;1;1;0;1;0;0;0
RMSPE;1;0;1;1;0;0;0
RMSPE;1;0;0;0;0;0;0
RMSPE;1;0;0;1;1;0;0
RMSPE;1;0;0;1;0;1;0
